na_item,unit,geo,time,values
B1GQ,CP_EUR_HAB,AL,2005-01-01,2200
B1GQ,CP_EUR_HAB,AT,2005-01-01,30900
B1GQ,CP_EUR_HAB,BE,2005-01-01,29700
B1GQ,CP_EUR_HAB,BG,2005-01-01,3100
B1GQ,CP_EUR_HAB,CH,2005-01-01,43900
B1GQ,CP_EUR_HAB,CY,2005-01-01,20400
B1GQ,CP_EUR_HAB,CZ,2005-01-01,10700
B1GQ,CP_EUR_HAB,DE,2005-01-01,28300
B1GQ,CP_EUR_HAB,DK,2005-01-01,39300
B1GQ,CP_EUR_HAB,EA,2005-01-01,26600
B1GQ,CP_EUR_HAB,EA18,2005-01-01,26e3
B1GQ,CP_EUR_HAB,EA19,2005-01-01,25800
B1GQ,CP_EUR_HAB,EE,2005-01-01,8300
B1GQ,CP_EUR_HAB,EL,2005-01-01,18100
B1GQ,CP_EUR_HAB,ES,2005-01-01,21300
B1GQ,CP_EUR_HAB,EU28,2005-01-01,23400
B1GQ,CP_EUR_HAB,FI,2005-01-01,31300
B1GQ,CP_EUR_HAB,FR,2005-01-01,28100
B1GQ,CP_EUR_HAB,HR,2005-01-01,8500
B1GQ,CP_EUR_HAB,HU,2005-01-01,9e3
B1GQ,CP_EUR_HAB,IE,2005-01-01,40900
B1GQ,CP_EUR_HAB,IS,2005-01-01,45400
B1GQ,CP_EUR_HAB,IT,2005-01-01,25600
B1GQ,CP_EUR_HAB,LT,2005-01-01,6300
B1GQ,CP_EUR_HAB,LU,2005-01-01,64500
B1GQ,CP_EUR_HAB,LV,2005-01-01,6100
B1GQ,CP_EUR_HAB,MK,2005-01-01,2500
B1GQ,CP_EUR_HAB,MT,2005-01-01,12700
B1GQ,CP_EUR_HAB,NL,2005-01-01,33400
B1GQ,CP_EUR_HAB,NO,2005-01-01,53700
B1GQ,CP_EUR_HAB,PL,2005-01-01,6500
B1GQ,CP_EUR_HAB,PT,2005-01-01,15100
B1GQ,CP_EUR_HAB,RO,2005-01-01,3800
B1GQ,CP_EUR_HAB,RS,2005-01-01,2800
B1GQ,CP_EUR_HAB,SE,2005-01-01,34700
B1GQ,CP_EUR_HAB,SI,2005-01-01,14600
B1GQ,CP_EUR_HAB,SK,2005-01-01,7300
B1GQ,CP_EUR_HAB,UK,2005-01-01,33600
B1GQ,CP_MEUR,AL,2005-01-01,6475.3
B1GQ,CP_MEUR,AT,2005-01-01,254075
B1GQ,CP_MEUR,BE,2005-01-01,311481
B1GQ,CP_MEUR,BG,2005-01-01,23852.7
B1GQ,CP_MEUR,CH,2005-01-01,328683.1
B1GQ,CP_MEUR,CY,2005-01-01,15039.3
B1GQ,CP_MEUR,CZ,2005-01-01,109627.7
B1GQ,CP_MEUR,DE,2005-01-01,2300860
B1GQ,CP_MEUR,DK,2005-01-01,212832.3
B1GQ,CP_MEUR,EA,2005-01-01,8325730
B1GQ,CP_MEUR,EA18,2005-01-01,8439483.6
B1GQ,CP_MEUR,EA19,2005-01-01,8460485.9
B1GQ,CP_MEUR,EE,2005-01-01,11262.3
B1GQ,CP_MEUR,EL,2005-01-01,199242.3
B1GQ,CP_MEUR,ES,2005-01-01,930566
B1GQ,CP_MEUR,EU28,2005-01-01,11590881.5
B1GQ,CP_MEUR,FI,2005-01-01,164387
B1GQ,CP_MEUR,FR,2005-01-01,1771978
B1GQ,CP_MEUR,HR,2005-01-01,36508.4
B1GQ,CP_MEUR,HU,2005-01-01,90948.9
B1GQ,CP_MEUR,IE,2005-01-01,170188.4
B1GQ,CP_MEUR,IS,2005-01-01,13437.8
B1GQ,CP_MEUR,IT,2005-01-01,1489725.5
B1GQ,CP_MEUR,LT,2005-01-01,21002.4
B1GQ,CP_MEUR,LU,2005-01-01,30031
B1GQ,CP_MEUR,LV,2005-01-01,13726.2
B1GQ,CP_MEUR,MK,2005-01-01,5032
B1GQ,CP_MEUR,MT,2005-01-01,5142.1
B1GQ,CP_MEUR,NL,2005-01-01,545609
B1GQ,CP_MEUR,NO,2005-01-01,248332.2
B1GQ,CP_MEUR,PL,2005-01-01,246201.3
B1GQ,CP_MEUR,PT,2005-01-01,158652.6
B1GQ,CP_MEUR,RO,2005-01-01,80225.6
B1GQ,CP_MEUR,RS,2005-01-01,21103.3
B1GQ,CP_MEUR,SE,2005-01-01,313218
B1GQ,CP_MEUR,SI,2005-01-01,29235.4
B1GQ,CP_MEUR,SK,2005-01-01,39348.3
B1GQ,CP_MEUR,TR,2005-01-01,401707.1
B1GQ,CP_MEUR,UK,2005-01-01,2027472.9
B1GQ,CP_MPPS,AL,2005-01-01,15009.4
B1GQ,CP_MPPS,AT,2005-01-01,244801.9
B1GQ,CP_MPPS,BA,2005-01-01,20732.3
B1GQ,CP_MPPS,BE,2005-01-01,296798.4
B1GQ,CP_MPPS,BG,2005-01-01,66457.4
B1GQ,CP_MPPS,CH,2005-01-01,256405.1
B1GQ,CP_MPPS,CY,2005-01-01,17423.5
B1GQ,CP_MPPS,CZ,2005-01-01,190516.1
B1GQ,CP_MPPS,DE,2005-01-01,2240304.6
B1GQ,CP_MPPS,DK,2005-01-01,157267.9
B1GQ,CP_MPPS,EA,2005-01-01,8202932.1
B1GQ,CP_MPPS,EA18,2005-01-01,8389899.3
B1GQ,CP_MPPS,EA19,2005-01-01,8430893.5
B1GQ,CP_MPPS,EE,2005-01-01,19013.8
B1GQ,CP_MPPS,EL,2005-01-01,238804.6
B1GQ,CP_MPPS,ES,2005-01-01,1027604.8
B1GQ,CP_MPPS,EU28,2005-01-01,11590881.5
B1GQ,CP_MPPS,FI,2005-01-01,142622.8
B1GQ,CP_MPPS,FR,2005-01-01,1643002.3
B1GQ,CP_MPPS,HR,2005-01-01,56087.9
B1GQ,CP_MPPS,HU,2005-01-01,146416.7
B1GQ,CP_MPPS,IE,2005-01-01,142944.6
B1GQ,CP_MPPS,IS,2005-01-01,9320.6
B1GQ,CP_MPPS,IT,2005-01-01,1480340.1
B1GQ,CP_MPPS,LT,2005-01-01,41011.9
B1GQ,CP_MPPS,LU,2005-01-01,26965.3
B1GQ,CP_MPPS,LV,2005-01-01,26344
B1GQ,CP_MPPS,MK,2005-01-01,13585.1
B1GQ,CP_MPPS,MT,2005-01-01,7640
