source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,"TO ALL AMERICANS-
#HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we… https://t.co/1asdMAL4iy",Sun Jan 01 05:00:10 +0000 2017,32665,126230,FALSE,815422340540547073
Twitter for iPhone,"RT @DanScavino: On behalf of our next #POTUS &amp; @TeamTrump-

#HappyNewYear AMERICA🇺🇸

https://t.co/Y6XDdijXea
https://t.co/D8plL7xHql
https:…",Sun Jan 01 05:39:13 +0000 2017,5548,0,TRUE,815432169464197121
Twitter for iPhone,RT @Reince: Happy New Year + God's blessings to you all.  Looking forward to incredible things in 2017!  @realDonaldTrump will Make America…,Sun Jan 01 05:43:23 +0000 2017,7144,0,TRUE,815433217595547648
Twitter for iPhone,RT @EricTrump: 2016 was such an incredible year for our entire family! My beautiful wife @LaraLeaTrump made it even better! 🇺🇸🇺🇸 https://t.…,Sun Jan 01 05:44:17 +0000 2017,6941,0,TRUE,815433444591304704
Twitter for iPhone,RT @DonaldJTrumpJr: Happy new year everyone. #newyear #family #vacation #familytime https://t.co/u9fJIKNoZq,Sun Jan 01 06:49:33 +0000 2017,6847,0,TRUE,815449868739211265
Twitter for iPhone,"RT @IvankaTrump: 2016 has been one of the most eventful and exciting years of my life. I wish you peace, joy, love and laughter. Happy New…",Sun Jan 01 06:49:49 +0000 2017,13659,0,TRUE,815449933453127681
Twitter for Android,"Well, the New Year begins. We will, together, MAKE AMERICA GREAT AGAIN!",Mon Jan 02 14:40:10 +0000 2017,29248,124024,FALSE,815930688889352192
Twitter for Android,"Chicago murder rate is record setting - 4,331 shooting victims with 762 murders in 2016. If Mayor can't do it he must ask for Federal help!",Mon Jan 02 17:31:17 +0000 2017,17411,63340,FALSE,815973752785793024
Twitter for Android,"@CNN just released a book called ""Unprecedented"" which explores the 2016 race &amp; victory. Hope it does well but used worst cover photo of me!",Mon Jan 02 18:32:29 +0000 2017,3948,13862,FALSE,815989154555297792
Twitter for Android,"Various media outlets and pundits say that I thought I was going to lose the election. Wrong, it all came together in the last week and.....",Mon Jan 02 18:37:10 +0000 2017,9057,47285,FALSE,815990335318982656
Twitter for Android,"I thought and felt I would win big, easily over the fabled 270 (306). When they cancelled fireworks, they knew, and so did I.",Mon Jan 02 18:44:04 +0000 2017,13437,62670,FALSE,815992069412057088
Twitter for Android,North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!,Mon Jan 02 23:05:44 +0000 2017,26703,92256,FALSE,816057920223846400
Twitter for Android,"China has been taking out massive amounts of money &amp; wealth from the U.S. in totally one-sided trade, but won't help with North Korea. Nice!",Mon Jan 02 23:47:12 +0000 2017,17507,64480,FALSE,816068355555815424
Twitter for Android,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,Tue Jan 03 12:30:05 +0000 2017,18864,73104,FALSE,816260343391514624
Twitter for Android,"People must remember that ObamaCare just doesn't work, and it is not affordable - 116% increases (Arizona). Bill Clinton called it ""CRAZY""",Tue Jan 03 12:46:33 +0000 2017,14481,58809,FALSE,816264484629184513
