Country	Countrycode3	Countrycode2	Year	POP	Incomegroup	Mean	Median	Gini	Source	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	Q1	Q2	Q3	Q4	Q5	P5	P95	Revision	Quality	Source_Comments	Region	Currency	Reference_period	Welfaredefn	IncSharU	UofAnala	Equivsc	AreaCovr	PopCovr	AgeCovr	EU	OECD	Year_cat	Welfaredefn_new	Equivsc_new	AgeCovr_new	AreaCovr_new	PopCovr_new	IncSharU_new	UofAnala_new	Exchangerate	Mean_usd	Median_usd
Afghanistan	AFG	AF	2007		Low income	36588		29	National Risk and Vulnerability Assessment 											9	13	17	22	39			New 2013	High	European commision and Government of Afghanistan	Asia	AF	Month	Consumption	Household	Person	Per Capita	All	All	All	Non-EU	Non-OECD	2007+	Expenditure	Household Per Capita	All	All	All	Household	Person	49.9620177704	732.3162841797	
Afghanistan	AFG	AF	2008		Low income			27.8	WDI											9.4	13.61	17.37	22.14	37.48			New 2013	Average		Asia			Income/Consumption				All	All	All	Non-EU	Non-OECD	2007+	Other		All	All	All					
Albania	ALB	AL	1996	3.112597	Upper middle income	58192.8		28	Deininger & Squire. World Bank 2004	3.679113	5.021737	6.01207	7.021784	8.056013	9.105638	10.6403	12.54384	15.11879	22.80072	8.70085	13.033854	17.161651	23.18414	37.91951				Average	Employment and Welfare Survey	Europe	Leke	Month	Consumption	Household	Person	Household per capita	All. excl Tirana	All	All	Non-EU	Non-OECD	1990-1999	Expenditure	Household Per Capita	All	Other	All	Household	Person	104.4989166667	556.8746948242	
Albania	ALB	AL	1997	3.091902	Upper middle income			29.1	WDI											8.72	13.02	17.3	23.01	37.95			New 2013	Average		Europe			Income/Consumption				All	All	All	Non-EU	Non-OECD	1990-1999	Other		All	All	All					
Albania	ALB	AL	2002	3.089778	Upper middle income			28.2	World Bank. World Development Indicators 2004	3.8									22.4	9.1	13.5	17.3	22.8	37.4			Mod 2007	High	Living Standards Measurement Survey	Europe			Consumption	Household	Person	Household per capita	All	All	All	Non-EU	Non-OECD	2000-2006	Expenditure	Household Per Capita	All	All	All	Household	Person			
Albania	ALB	AL	2002	3.089778	Upper middle income			28.1	WDI											9.09	13.38	17.42	22.7	37.41			New 2013	Average		Europe			Income/Consumption				All	All	All	Non-EU	Non-OECD	2000-2006	Other		All	All	All					
Albania	ALB	AL	2004	3.124861	Upper middle income			31.1	World Bank. World Development Indicators 2008	3.4107588764									24.3972577865	8.229078804	12.615192542	17.0384381536	22.60907126	39.5082192404			New 2008	High	Living Standards Measurement Survey	Europe			Consumption	Household	Person	Household per capita	All	All	All	Non-EU	Non-OECD	2000-2006	Expenditure	Household Per Capita	All	All	All	Household	Person			
Albania	ALB	AL	2004	3.124861	Upper middle income			31.1	WDI											8.18	12.69	17	22.62	39.51			New 2013	Average		Europe			Income/Consumption				All	All	All	Non-EU	Non-OECD	2000-2006	Other		All	All	All					
Albania	ALB	AL	2005	3.1418	Upper middle income			33	WDI											7.81	12.21	16.52	22.29	41.17			New 2013	Average		Europe			Income/Consumption				All	All	All	Non-EU	Non-OECD	2000-2006	Other		All	All	All					
Albania	ALB	AL	2008	3.181397	Upper middle income			34.5	WDI											8.14	12.05	15.85	20.94	43.02			New 2013	Average		Europe			Income/Consumption				All	All	All	Non-EU	Non-OECD	2007+	Other		All	All	All					
Albania	ALB	AL	2012		Upper middle income			29	World Bank											8.9	13.2	17.3	22.8	37.8			New 2013	High		Europe			Income/Consumption	Household				All	All	Non-EU	Non-OECD	2007+	Other		All		All	Household				
Algeria	DZA	DZ	1988		Upper middle income			40.2	WDI											6.54	10.79	14.82	20.67	47.18			New 2013	Average		Africa			Income/Consumption				All	All	All	Non-EU	Non-OECD	1980-1989	Other		All	All	All					
Algeria	DZA	DZ	1988		Upper middle income	2025.6		40.1	World Bank Poverty Monitoring Database 2002	2.56	3.98	4.93	5.86	6.85	7.97	9.38	11.29	14.51	32.67	6.54	10.79	14.82	20.67	47.18				Low	Enquete sur les Depenses de Consommation des Menages	Africa	USD	Month	Consumption	Household	Person	Household per capita	All	All	All	Non-EU	Non-OECD	1980-1989	Expenditure	Household Per Capita	All	All	All	Household	Person	1	2025.5999755859	
Algeria	DZA	DZ	1995		Upper middle income			35.3	WDI											6.97	11.55	16.23	22.63	42.62			New 2013	Average		Africa			Income/Consumption				All	All	All	Non-EU	Non-OECD	1990-1999	Other		All	All	All					
Algeria	DZA	DZ	1995		Upper middle income	1896		35.3	World Bank Poverty Monitoring Database 2002	2.87	4.1	5.22	6.33	7.48	8.75	10.29	12.34	15.73	26.89	6.97	11.55	16.23	22.63	42.62				Low	Enquete national sur la mesure des nivaux de vie de menages Algeriens	Africa	USD	Month	Consumption	Household	Person	Household per capita	All	All	All	Non-EU	Non-OECD	1990-1999	Expenditure	Household Per Capita	All	All	All	Household	Person	1	1896	
Angola	AGO	AO	2000	13.926373	Upper middle income			58.6	WDI											2	5.66	10.79	19.69	61.86			New 2013	Average		Africa			Income/Consumption				All	All	All	Non-EU	Non-OECD	2000-2006	Other		All	All	All					
Angola	AGO	AO	2009	18.555115	Upper middle income	101028		39	"Integrated Survey on the Welfare of Population Vol. I
"											6	11	15	22	45			New 2013	High	Angola IBEP Report 2008-09	Africa	kwanza	Month	Consumption	Household	Person	Per Capita	Urban	All	All	Non-EU	Non-OECD	2007+	Expenditure	Household Per Capita	All	Other	All	Household	Person	79.3281666667	1273.5451660156	
Angola	AGO	AO	2009	18.555115	Upper middle income	77388		43	"Integrated Survey on the Welfare of Population Vol. I
"											5	10	14	22	49			New 2013	High	Angola IBEP Report 2008-09	Africa	kwanza	Month	Consumption	Household	Person	Per Capita	All	All	All	Non-EU	Non-OECD	2007+	Expenditure	Household Per Capita	All	All	All	Household	Person	79.3281666667	975.5425415039	
Angola	AGO	AO	2009	18.555115	Upper middle income	71604		50	"Integrated Survey on the Welfare of Population Vol. I
"											4	8	13	20	55			New 2013	High	Angola IBEP Report 2008-09	Africa	kwanza	Month	Income. ..	Household	Person	Per Capita	Rural	All	All	Non-EU	Non-OECD	2007+	Other	Household Per Capita	All	Other	All	Household	Person	79.3281666667	902.6301879883	
Angola	AGO	AO	2009	18.555115	Upper middle income	48732		38	"Integrated Survey on the Welfare of Population Vol. I
"											6	11	15	22	45			New 2013	High	Angola IBEP Report 2008-09	Africa	kwanza	Month	Consumption	Household	Person	Per Capita	Rural	All	All	Non-EU	Non-OECD	2007+	Expenditure	Household Per Capita	All	Other	All	Household	Person	79.3281666667	614.3088989258	
Angola	AGO	AO	2009	18.555115	Upper middle income	105204		55	"Integrated Survey on the Welfare of Population Vol. I
"											3	7	12	19	59			New 2013	High	Angola IBEP Report 2008-09	Africa	kwanza	Month	Income. ..	Household	Person	Per Capita	All	All	All	Non-EU	Non-OECD	2007+	Other	Household Per Capita	All	All	All	Household	Person	79.3281666667	1326.1872558594	
Angola	AGO	AO	2009	18.555115	Upper middle income	132924		55	"Integrated Survey on the Welfare of Population Vol. I
"											3	7	12	19	59			New 2013	High	Angola IBEP Report 2008-09	Africa	kwanza	Month	Income. ..	Household	Person	Per Capita	Urban	All	All	Non-EU	Non-OECD	2007+	Other	Household Per Capita	All	Other	All	Household	Person	79.3281666667	1675.6217041016	
Argentina	ARG	AR	1953	18.2468272892	Upper middle income		21288	40	Altimir 1986	3.2	4.2	5	5.7	6.4	7.2	8.3	9.9	13	37.1	7.4	10.7	13.6	18.2	50.1				Low	Based on National Accounts	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1900-1959	Income.Disposable	Without Adjustment	All	All	All	Household	Household			
Argentina	ARG	AR	1953	18.2468272892	Upper middle income			41.2	Weisskoff 1970	3.2	4.3	5	5.6	6.5	7.4	8.3	9.8	13.2	36.8	7.5	10.6	13.9	18.1	50				Low	ACND	Americas			Income. ..	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1900-1959	Other	Without Adjustment	All	All	All	Household	Household			
Argentina	ARG	AR	1959	20.2989620034	Upper middle income		112824	44.7	Altimir 1986	3	3.8	4.4	5	5.8	6.5	7.6	9.1	12.5	42.3	6.8	9.4	12.3	16.7	54.8				Low	Based on National Accounts	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1900-1959	Income.Disposable	Without Adjustment	All	All	All	Household	Household			
Argentina	ARG	AR	1959	20.2989620034	Upper middle income			46.3	Weisskoff 1970	3	3.9	4.4	5.1	5.7	6.5	7.8	9	12.8	41.9	6.9	9.5	12.2	16.8	54.7				Low		Americas			Income. ..	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1900-1959	Other	Without Adjustment	All	All	All	Household	Household			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income		170256	40.7	Altimir 1986	3.2	4.3	5	5.6	6.2	7	8	9.6	12.7	38.4	7.5	10.6	13.2	17.6	51.1				Low	Based on National Accounts	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	Urban	All	All	Non-EU	Non-OECD	1960-1969	Income.Disposable	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income			42	Jain 1975	3.2	4	4.7	5.5	6.4	7.4	8.7	10.7	13.8	35.6	7.2	10.2	13.8	19.4	49.4		26.4		Not known	Cline 1972	Americas			Income. ..	Household	Household	No Adjustment	Nonagricultural sector	All	All	Non-EU	Non-OECD	1960-1969	Other	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income			42	Paukert 1973											7	10.4	13.2	17.9	51.5		29.3		Not known	Weisskoff 1970	Americas			Income. Gross	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1960-1969	Income.Gross	Without Adjustment	All	All	All	Household	Household			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income	78620		53.1	Jain 1975	2.1	3.1	3.7	4.5	5.3	6.4	7.6	9.5	12.6	45.2	5.2	8.2	11.7	17.1	57.8		36.8	Mod 2007	Not known	UN-ECLA 69	Americas	Pesos	Year	Income. ..	Person	Person	No Adjustment	Agricultural sector	Income Recipients	All	Non-EU	Non-OECD	1960-1969	Other	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income			43.4	Weisskoff 1970	2.9	4.1	4.9	5.5	6.1	7.1	8.1	9.8	12.6	39	7	10.4	13.2	17.9	51.6				Low	ACND	Americas			Income. ..	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1960-1969	Other	Without Adjustment	All	All	All	Household	Household			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income		163680	41.9	Altimir 1986	2.9	4.1	4.8	5.5	6.2	7	8	9.6	12.9	39	7	10.3	13.2	17.6	51.9				Low	Based on National Accounts	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1960-1969	Income.Disposable	Without Adjustment	All	All	All	Household	Household			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income			50.8	Jain 1975	3	3.1	3.7	4.2	5.1	6.1	7.7	9.8	13.7	43.6	6.1	7.9	11.2	17.5	57.3		33.8		Not known	Cline 1972	Americas			Income. ..	Household	Household	No Adjustment	Agricultural sector	All	All	Non-EU	Non-OECD	1960-1969	Other	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income			47.7	Jain 1975	1.6	3.4	4.5	5.3	6.3	7.4	8.6	10.4	13.2	39.3	5	9.8	13.7	19	52.5		30.8		Low	Synthetic estimates (UN-ECLA 1970)	Americas			Income. ..		Person		Nonagricultural sector	All	All	Non-EU	Non-OECD	1960-1969	Other		All	Other	All		Person			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income	92140		49	Jain 1975	1.8	3.3	4.3	5	6	7.1	8.4	10.2	13.2	40.7	5.1	9.3	13.1	18.6	53.9		32	Mod 2007	Not known	UN-ECLA 69	Americas	Pesos	Year	Income. ..	Person	Person	No Adjustment	All	Income Recipients	All	Non-EU	Non-OECD	1960-1969	Other	Without Adjustment	All	All	Employed+Others	Person	Person			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income			42.5	Lecaillon et al. 1984																			Not known		Americas			Primary Income	Household	Household	No Adjustment	Urban	All	All	Non-EU	Non-OECD	1960-1969	Other	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income			42.3	Cromwell 1977											7						29.4		Not known	Weisskoff 1970	Americas			Income. ..	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1960-1969	Other	Without Adjustment	All	All	All	Household	Household			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income			47.8	Lecaillon et al. 1984																			Not known		Americas			Primary Income		Person		Urban	Econ. Active Population	All	Non-EU	Non-OECD	1960-1969	Other		All	Other	Employed+Others		Person			
Argentina	ARG	AR	1961	20.9689829357	Upper middle income			43.8	Jain 1975	3.1	3.8	4.5	5.2	6.1	7.2	8.6	10.6	13.9	37	6.9	9.7	13.3	19.2	50.9		32	Mod 2007	Not known	UN-ECLA 69	Americas			Income. ..	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1960-1969	Other	Without Adjustment	All	All	All	Household	Household			
Argentina	ARG	AR	1963	21.6353876949	Upper middle income		252300	37.3	Altimir 1986	2.7	4.1	5	6	7.1	8.1	9.6	11.7	15.2	30.5	6.8	11	15.2	21.3	45.7				Low	Encuesta de Presupuesto de Consumo	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	Urban	All	All	Non-EU	Non-OECD	1960-1969	Income.Disposable	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1963	21.6353876949	Upper middle income		258300	35.8	Altimir 1986	2.9	4.3	5.3	6.3	7.2	8.1	9.5	11.7	15.2	29.5	7.2	11.6	15.3	21.2	44.7				Low	Encuesta de Presupuestos de Consumo	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	Metro	All	All	Non-EU	Non-OECD	1960-1969	Income.Disposable	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1963	21.6353876949	Upper middle income			38.5	Jain 1975	2.8	4	5	5.8	6.9	8.1	9.8	11.9	15.6	30.1	6.8	10.8	15	21.7	45.7		19.8		Low	Encuesta Sobre Presupuestos de Consumo de las Familias Urbanos. por Niveles de Ingreso para 1963	Americas			Income. ..	Household	Household	No Adjustment	Urban	All	All	Non-EU	Non-OECD	1960-1969	Other	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1965	22.3026702243	Upper middle income		387192	35.3	Altimir 1986	2.3	4.1	5.3	6.4	7.5	8.8	10.5	12.3	15.7	27	6.4	11.7	16.3	22.8	42.7				Low	Encuesta de Consumo de Alimentos	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	Metro	All	All	Non-EU	Non-OECD	1960-1969	Income.Disposable	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1969	23.62075282	Upper middle income		12696	37.3	Altimir 1986	2.3	3.9	5.1	6	7.2	8.5	10.1	12	15.7	29.2	6.2	11.1	15.7	22.1	44.9				Average	Encuesta de Presupuestos Familiares	Americas	Pesos	Month	Income. Gross	Household	Household	No Adjustment	Metro	All	All	Non-EU	Non-OECD	1960-1969	Income.Gross	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1970	23.983358	Upper middle income			41.1	Jain 1975	1.9	3.7	4.8	5.8	6.9	8.2	9.7	12	15.4	31.6	5.6	10.6	15.1	21.7	47		21.4		Not known		Americas			Income. ..		Person		Capital	All	All	Non-EU	Non-OECD	1970-1979	Other		All	Other	All		Person			
Argentina	ARG	AR	1970	23.983358	Upper middle income		9252	36.1	Altimir 1986	2.3	4	5.6	6.1	7.6	8.6	10.7	12.2	15.8	27.6	6.3	11.7	16.2	22.9	43.4				Low	Encuesta de Empleo y Desempleo: Suplemento de Ingresos	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	Metro	All	All	Non-EU	Non-OECD	1970-1979	Income.Disposable	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1972	24.791983	Upper middle income		12216	33.4	Altimir 1986	2.5	4.4	5.7	6.8	7.9	8.9	10.1	11.9	15.2	26.6	6.9	12.5	16.8	22	41.8				Low	Encuesta Permanente de Hogares	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	Urban	All	All	Non-EU	Non-OECD	1970-1979	Income.Disposable	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1972	24.791983	Upper middle income		11712	35.3	Altimir 1986	2.2	4.1	5.4	6.6	7.7	8.9	10.1	12	15.3	27.7	6.3	12	16.6	22.1	43				Low	Encuesta Nacional de Hogares	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	All	All	All	Non-EU	Non-OECD	1970-1979	Income.Disposable	Without Adjustment	All	All	All	Household	Household			
Argentina	ARG	AR	1974	25.654154	Upper middle income		43620	36	Altimir 1986	2.2	3.8	5.2	6.3	7.6	8.8	10.4	12.5	16.1	27.1	6	11.5	16.4	22.9	43.2				Low	Encuesta Permanente de Hogares	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	Metro	All	All	Non-EU	Non-OECD	1970-1979	Income.Disposable	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1974	25.654154	Upper middle income			34.4	Fishlow et al. 1993										26.8	6.8								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1970-1979	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1974	25.654154	Upper middle income			32	SEDLAC.2012	3.0999999046	4.6999998093	5.8000001907	6.8000001907	7.9000000954	9	10.3999996185	12.1000003815	15.1000003815	25.1000003815	7.7999997139	12.6000003815	16.9000000954	22.5	40.2000007629			New 2013	High		Americas			Income.Disposable	Household	Person	Household eq. ..	Greater Buenos Aires	All	All	Non-EU	Non-OECD	1970-1979	Income.Disposable	Household Adult Equiv	All	Other	All	Household	Person			
Argentina	ARG	AR	1975	26.078731	Upper middle income			34.7	Fishlow et al. 1993										26.4	6.3								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1970-1979	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1975	26.078731	Upper middle income		124212	36.1	Altimir 1986	2.2	3.7	5.1	6.3	7.5	9	10.5	12.8	16.2	26.7	5.9	11.4	16.5	23.3	42.9				Low	Encuesta Permanente de Hogares	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	Metro	All	All	Non-EU	Non-OECD	1970-1979	Income.Disposable	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1976	26.492716	Upper middle income			35.2	Fishlow et al. 1993										27.2	7								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1970-1979	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1977	26.899177	Upper middle income			40.3	Fishlow et al. 1993										31.8	6.4								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1970-1979	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1978	27.303001	Upper middle income			43.4	Fishlow et al. 1993										34	5.6								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1970-1979	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1979	27.711808	Upper middle income			41.3	Fishlow et al. 1993										32.6	5.9								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1970-1979	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1980	28.13104	Upper middle income	7032000		40.8	Psacharopoulos et al. 1997	1.9	3.4	4.6	5.7	6.9	8.3	10.1	12.5	16.6	30	5.3	10.3	15.2	22.6	46.6				Average	Encuesta Permanente de Hogares	Americas	Pesos	Month	Monetary Income. Disposable	Household	Person	Household per capita	Metro	All	All	Non-EU	Non-OECD	1980-1989	Income.Disposable	Household Per Capita	All	Other	All	Household	Person	1.83715833333225E-08		
Argentina	ARG	AR	1980	28.13104	Upper middle income			38	SEDLAC.2012	2.5999999046	3.9000000954	5	6.0999999046	7.0999999046	8.3999996185	10	12.3999996185	16.3999996185	28.2999992371	6.5	11.0999999046	15.4999995232	22.3999996185	44.6999988556			New 2013	High		Americas			Income.Disposable	Household	Person	Household eq. ..	Greater Buenos Aires	All	All	Non-EU	Non-OECD	1980-1989	Income.Disposable	Household Adult Equiv	All	Other	All	Household	Person			
Argentina	ARG	AR	1980	28.13104	Upper middle income			40.5	Fishlow et al. 1993										31.8	6.2								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1980-1989	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1980	28.13104	Upper middle income		24438000	41.6	Altimir 1986	2	3	4.2	5.3	6.7	8.2	10	12.8	16.9	30.9	5	9.5	14.9	22.8	47.8				Low	Encuesta Permanente de Hogares	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	Metro	All	All	Non-EU	Non-OECD	1980-1989	Income.Disposable	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1981	28.561561	Upper middle income			42.8	Fishlow et al. 1993										34.2	5.8								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1980-1989	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1981	28.561561	Upper middle income		45446400	42.7	Altimir 1986	2.1	3.1	4.2	5.2	6.4	7.9	9.5	11.9	16.2	33.5	5.2	9.4	14.3	21.4	49.7				Low	Encuesta Permanente de Hogares	Americas	Pesos	Month	Monetary Income. Disposable	Household	Household	No Adjustment	Metro	All	All	Non-EU	Non-OECD	1980-1989	Income.Disposable	Without Adjustment	All	Other	All	Household	Household			
Argentina	ARG	AR	1982	29.00106	Upper middle income			40.2	Fishlow et al. 1993										31.8	6								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1980-1989	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1983	29.447973	Upper middle income			40.4	Fishlow et al. 1993										31.9	5.5								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1980-1989	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1985	30.35424	Upper middle income			39.8	Fishlow et al. 1993										31.4	6.3								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1980-1989	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1986	30.810984	Upper middle income			41	SEDLAC.2012	2.2999999523	3.7000000477	4.8000001907	5.6999998093	6.6999998093	8.1000003815	9.6000003815	11.8999996185	16.1000003815	31.2000007629	6	10.5	14.8000001907	21.5	47.3000011444			New 2013	High		Americas			Income.Disposable	Household	Person	Household eq. ..	Greater Buenos Aires	All	All	Non-EU	Non-OECD	1980-1989	Income.Disposable	Household Adult Equiv	All	Other	All	Household	Person			
Argentina	ARG	AR	1987	31.269799	Upper middle income			43.3	Fishlow et al. 1993										34	5.7								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1980-1989	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
Argentina	ARG	AR	1988	31.72913	Upper middle income			45.2	Fishlow et al. 1993										34.6	4.9								Low	Encuesta Permanente de Hogares	Americas			Monetary Income. Disposable	Person	Person	No Adjustment	Metro	Econ. Active Population	All	Non-EU	Non-OECD	1980-1989	Income.Disposable	Without Adjustment	All	Other	Employed+Others	Person	Person			
